,model,R2,Pearson_r,RMSE,MAE,n_imputed,missingness_prop,dataset,missingness
19,missforest,-40.800325201647816,0.1489893442386962,0.6549987601313856,0.6241900017728632,87.725,0.3,qsar,mnar
20,softimpute,-161.2164208920192,0.2457763505095972,1.102141807617424,1.0787961050208403,87.725,0.3,qsar,mnar
21,knn,-62.18735407405196,0.0526529233236325,0.7247618203700108,0.6949233876406585,87.725,0.3,qsar,mnar
22,mean,-309.3532133681103,,1.2032758048809131,1.1864568385084913,87.725,0.3,qsar,mnar
23,factorization,-139.8190426678922,0.2240385964625102,1.0796474538349774,1.0519498446210949,87.725,0.3,qsar,mnar
24,mice,-90.1222062595116,0.337797611917491,0.7566236837201011,0.7070304107644695,108.925,0.4,qsar,mnar
25,factorization,-139.04984581328526,0.1143415206383868,1.087521679686403,1.0594090030340737,108.925,0.4,qsar,mnar
26,mean,-309.3541962893495,,1.203621569494314,1.1866651343374386,108.925,0.4,qsar,mnar
27,missforest,-31.859330966796698,0.1968725812756143,0.6158769919353965,0.5898864953792854,108.925,0.4,qsar,mnar
28,softimpute,-160.4372177718319,0.2308665320455934,1.1039909468180404,1.080038488444141,108.925,0.4,qsar,mnar
29,knn,-65.60403600317802,0.0432125780059041,0.7260147015287103,0.6960173250586104,108.925,0.4,qsar,mnar
30,median,-331.4998927324551,,1.2366622087857575,1.2194928317699127,108.925,0.4,qsar,mnar
31,sudoku,-143.77170232743578,0.0412579378753835,0.897377287102193,0.8440822672707295,108.925,0.4,qsar,mnar
32,knn,-59.01092685201784,0.0114629501090673,0.7250887086758293,0.6953329661795246,129.925,0.5,qsar,mnar
33,mean,-309.35580957443733,,1.203505589174283,1.1867349554757822,129.925,0.5,qsar,mnar
34,missforest,-27.092240559305615,0.2186639365385063,0.6177466064868653,0.592395349303396,129.925,0.5,qsar,mnar
35,softimpute,-169.72178200744423,0.1901945196385951,1.106558281941768,1.082421415748541,129.925,0.5,qsar,mnar
36,median,-331.5010222493996,,1.2365726808302469,1.2195225511174528,129.925,0.5,qsar,mnar
37,mice,-102.59331010787255,0.3074900424243837,0.7847936881256128,0.7251771794659528,129.925,0.5,qsar,mnar
38,sudoku,-150.82994813779231,0.1478973949674377,0.8920733715303235,0.8452350279770984,129.925,0.5,qsar,mnar
39,factorization,-153.35936213658164,0.1688238594815114,1.1027335714742363,1.0741028875498793,129.925,0.5,qsar,mnar
0,knn,-21.450677025454937,0.1844004796018684,1.2089786301093353,1.1670528141691463,51.121212121212125,0.1,arcene,mnar
1,mice,-16.070294597971365,0.3756150572168242,1.1427941108731616,1.109705941278549,51.121212121212125,0.1,arcene,mnar
2,mean,-37.767710026484714,,1.3157049181588678,1.2854890244202382,51.121212121212125,0.1,arcene,mnar
3,factorization,-17.795588499866337,0.3329946712417662,1.1990558823327933,1.1666418180142686,51.121212121212125,0.1,arcene,mnar
4,sudoku,-15.895597097169755,0.2721056329534069,1.124032927447062,1.08823444711142,51.121212121212125,0.1,arcene,mnar
5,median,-43.45661149651209,,1.3966542209956367,1.3681592176350768,51.121212121212125,0.1,arcene,mnar
6,missforest,-14.343368400635663,0.3294463567532343,1.1187179860424858,1.0867019205771895,51.121212121212125,0.1,arcene,mnar
7,softimpute,-30.62736025301263,0.0721699799040306,1.307427215089579,1.2762981983848096,51.121212121212125,0.1,arcene,mnar
8,mean,-38.14166777734457,,1.3245766234967953,1.2952618498350572,82.31313131313131,0.2,arcene,mnar
9,softimpute,-32.03192880167956,0.0565982827191026,1.3303975409185007,1.300403485538935,82.31313131313131,0.2,arcene,mnar
10,factorization,-19.74845879793907,0.2446898926715071,1.238354665341743,1.2055583942633632,82.31313131313131,0.2,arcene,mnar
11,mice,-18.00897339109324,0.2806714143386455,1.1694360523752478,1.1368076854374904,82.31313131313131,0.2,arcene,mnar
12,knn,-22.178620971981054,0.1190219761846372,1.2249433009916766,1.187193167624356,82.31313131313131,0.2,arcene,mnar
13,sudoku,-16.48375663925002,0.1588711173826117,1.15103334219119,1.1157684237760948,82.31313131313131,0.2,arcene,mnar
14,median,-43.617502528479264,,1.4010623067882662,1.372876171859709,82.31313131313131,0.2,arcene,mnar
15,missforest,-16.621517931870752,0.2372797399319608,1.1511972666042352,1.117721006276348,82.31313131313131,0.2,arcene,mnar
16,sudoku,-17.531995265817784,0.1659234714732546,1.1746678617177615,1.138255253719504,101.44444444444444,0.3,arcene,mnar
17,median,-43.820644673664866,,1.4065112533798574,1.3782902397898418,101.44444444444444,0.3,arcene,mnar
18,knn,-22.4601294421992,0.1015710182032033,1.2372664685988406,1.1971274364608802,101.44444444444444,0.3,arcene,mnar
19,mice,-18.186346509101845,0.2348624397506734,1.1804304913767358,1.1468343143467268,101.44444444444444,0.3,arcene,mnar
20,missforest,-15.183764341654662,0.191918547316884,1.162292037696362,1.126629360338087,101.44444444444444,0.3,arcene,mnar
21,softimpute,-32.71983655171307,0.0260144550942423,1.3437094043711366,1.3141211841537777,101.44444444444444,0.3,arcene,mnar
22,factorization,-20.344914688121733,0.1225394349681679,1.2555478040436174,1.222469024681278,101.44444444444444,0.3,arcene,mnar
23,mean,-38.308629304526406,,1.330639723756034,1.3014921281183536,101.44444444444444,0.3,arcene,mnar
24,softimpute,-33.51673645878942,0.0156904929564684,1.353974581883343,1.3244501437072382,115.91919191919192,0.4,arcene,mnar
25,mean,-38.49844939569094,,1.335396865256299,1.3065988448956551,115.91919191919192,0.4,arcene,mnar
26,knn,-22.792443631329288,0.0773742161847327,1.2496322626004268,1.2101166174850957,115.91919191919192,0.4,arcene,mnar
27,factorization,-20.861967587427365,0.1100520195583839,1.2698390317655868,1.236313270997795,115.91919191919192,0.4,arcene,mnar
28,mice,-18.080087533505463,0.2585236231548286,1.1878362959427615,1.153908667675394,115.91919191919192,0.4,arcene,mnar
29,median,-44.021259225286975,,1.4110367333459224,1.3830866310093315,115.91919191919192,0.4,arcene,mnar
30,missforest,-15.244956304010657,0.1663107356833469,1.175614181659034,1.1409255334219035,115.91919191919192,0.4,arcene,mnar
31,sudoku,-16.84253390507836,0.1181208715815585,1.1885486017123452,1.1523943470151337,115.91919191919192,0.4,arcene,mnar
32,knn,-23.131585237327663,0.0699939545949634,1.2506044616213483,1.2107935775929295,127.9090909090909,0.5,arcene,mnar
33,factorization,-20.948789196321684,0.0457139804427505,1.2840153867725297,1.2496891399790784,127.9090909090909,0.5,arcene,mnar
34,mean,-38.714013576207094,,1.3404728733239637,1.312027111639105,127.9090909090909,0.5,arcene,mnar
35,median,-44.358279319524534,,1.41921409890642,1.3919415773199069,127.9090909090909,0.5,arcene,mnar
36,missforest,-15.752369832320976,0.1372509738349792,1.1899148015863497,1.1550058476512113,127.9090909090909,0.5,arcene,mnar
37,softimpute,-34.54030465699585,-0.0162959209775557,1.3655874323315125,1.336112482691228,127.9090909090909,0.5,arcene,mnar
38,sudoku,-18.60109282771281,0.1089819109218776,1.1878152372340107,1.1498028798627389,127.9090909090909,0.5,arcene,mnar
39,mice,-18.806162105901738,0.2042297471491768,1.1966596221814143,1.162511591618464,127.9090909090909,0.5,arcene,mnar
0,factorization,-187.2264331592729,0.0312763182958737,0.0829277126363323,0.0356910835589357,1498.0,0.1,eeg,mar
1,knn,0.1855752975631596,0.6003966684239891,0.0064861675439751,0.0018301216899584,1498.0,0.1,eeg,mar
2,mice,-478.4748649029364,0.5803401029878137,0.1892703274727875,0.0071411221088574,1498.0,0.1,eeg,mar
3,median,-0.060697623087109,,0.0072880641618172,0.0026390947619573,1498.0,0.1,eeg,mar
4,sudoku,-2.0535466426102857,0.3548391963341729,0.0068644948611075,0.0017412593324875,1498.0,0.1,eeg,mar
5,mean,-0.0617009599351064,,0.0072152133143725,0.0025598648002029,1498.0,0.1,eeg,mar
6,softimpute,-2340.0156378323873,-0.0354545901451687,0.2934974577312065,0.1377853271008809,1498.0,0.1,eeg,mar
7,missforest,0.3795717662358992,0.7629193518582583,0.005274894916869,0.0009246889507981,1498.0,0.1,eeg,mar
8,softimpute,-3235.4973943817145,0.1341303859505749,0.2584064978619374,0.1520619747830014,2996.0,0.2,eeg,mar
9,factorization,-304.2556190647495,0.1417183194456461,0.0852837324930392,0.0553985636112459,2996.0,0.2,eeg,mar
10,median,-0.0514495498004351,,0.0079856339533087,0.0026534643403642,2996.0,0.2,eeg,mar
11,knn,0.0435488002423947,0.347480166939775,0.0075583557707743,0.0024593535312601,2996.0,0.2,eeg,mar
12,mean,-0.0422580541936478,,0.0079233428340236,0.0025784066660439,2996.0,0.2,eeg,mar
13,sudoku,-2.3527961616353044,0.3587176037057291,0.007549690377056,0.0018345740532525,2996.0,0.2,eeg,mar
14,missforest,-8.184958320192303,0.535493421811872,0.0073595135514034,0.0010490516976102,2996.0,0.2,eeg,mar
15,mice,-1652.676995768231,0.2349678353189962,0.1882976689991539,0.0050664841331183,2996.0,0.2,eeg,mar
16,sudoku,-2.8048417712085367,0.2838741447957867,0.0082548819760482,0.0021035272611788,4494.0,0.3,eeg,mar
17,knn,0.0238907615931785,0.2614138129328793,0.0078765934783155,0.0025320844684245,4494.0,0.3,eeg,mar
18,factorization,-384.8013744542484,0.0943269767085068,0.1009842774359086,0.0785125439307359,4494.0,0.3,eeg,mar
19,mean,-0.0477377771708564,,0.0081850966410051,0.0026494388479832,4494.0,0.3,eeg,mar
20,softimpute,-2795.845181842405,0.1261121763772888,0.2468525690236,0.1666138442113215,4494.0,0.3,eeg,mar
21,missforest,-42.32016182855708,0.3911654829179334,0.0079222992461941,0.0011953294927337,4494.0,0.3,eeg,mar
22,mice,-1063.3204613032,0.0268039587098942,0.2165400600006803,0.0049122649603464,4494.0,0.3,eeg,mar
23,median,-0.0488665478820259,,0.0082215644978433,0.0027054713439711,4494.0,0.3,eeg,mar
24,missforest,0.0564822761807474,0.19806317417032,0.0103655783968013,0.0014338881396106,5992.0,0.4,eeg,mar
25,factorization,-420.6399606262566,-0.0070819662006929,0.1331852100954692,0.1053448867202838,5992.0,0.4,eeg,mar
26,mice,-45.49703535827965,0.2040809132826464,0.0472456060541237,0.0025797539423056,5992.0,0.4,eeg,mar
27,knn,-0.0316592792794692,0.0716856165016922,0.0110124322101767,0.0028761293373128,5992.0,0.4,eeg,mar
28,median,-0.0513703236096713,,0.0110851404274288,0.0028380774548872,5992.0,0.4,eeg,mar
29,mean,-0.0443595033752579,,0.0110470230407147,0.002777945416709,5992.0,0.4,eeg,mar
30,softimpute,-3411.2370431551485,0.1418720869639188,0.3414943417043865,0.1505668941991086,5992.0,0.4,eeg,mar
31,sudoku,0.0150520169178318,0.1720318470158345,0.0108414261513531,0.0023107250487012,5992.0,0.4,eeg,mar
32,mice,-36.83054795564774,0.1686360193123252,0.0415238464819225,0.0029247356401942,7387.5,0.5,eeg,mar
33,knn,-0.1724766822388955,-0.051337121373394,0.0111618171889727,0.0034651031411288,7387.5,0.5,eeg,mar
34,factorization,-744.4045663323462,-0.1027019047807088,0.155850279224966,0.1341000252901521,7387.5,0.5,eeg,mar
35,mean,-0.0784296661914041,,0.0105637605296432,0.002941665688409,7387.5,0.5,eeg,mar
36,softimpute,-4120.411829278734,0.0377079881042902,0.3208352646439268,0.1668445924119721,7387.5,0.5,eeg,mar
37,missforest,-134.62234220213523,0.1526810290288605,0.0110127445022263,0.0025557057025368,7387.5,0.5,eeg,mar
38,sudoku,-15.471440937223386,0.081314065313723,0.0105235885061135,0.0026250915928413,7387.5,0.5,eeg,mar
39,median,-0.0824533668154646,,0.0105674774187865,0.0029412433645683,7387.5,0.5,eeg,mar
0,missforest,0.5039469908369799,0.830862431026724,0.0802573438229385,0.0357751786034492,92.25,0.1,qsar,mar
1,median,-0.3753294381671,,0.1688287039912061,0.0924899375565969,92.25,0.1,qsar,mar
2,mean,-0.2390157576794643,,0.1592046629018023,0.1076023805569866,92.25,0.1,qsar,mar
3,knn,0.1309416559946848,0.6384019797274373,0.0996579516703323,0.0537572721212528,92.25,0.1,qsar,mar
4,sudoku,0.2314589099270509,0.7401308370763967,0.076931502247087,0.0413089804431213,92.25,0.1,qsar,mar
5,factorization,-0.0717056063831312,0.7118685959040972,0.116955456646186,0.0758109769464442,92.25,0.1,qsar,mar
6,softimpute,0.2344758304410727,0.732240603313991,0.1129971299657242,0.0675870882330738,92.25,0.1,qsar,mar
7,mice,-4.339009118635313,0.7172973404573542,0.1563313666071334,0.1229279350907909,92.25,0.1,qsar,mar
8,factorization,-0.2222552814104164,0.6393272565143753,0.1363648552231393,0.0845899441668708,169.1,0.2,qsar,mar
9,knn,-0.0515717638529447,0.5764317301336436,0.1121274930443266,0.0618229750819259,169.1,0.2,qsar,mar
10,softimpute,0.1775464238881607,0.686271372910153,0.126720200469417,0.074354558156071,169.1,0.2,qsar,mar
11,missforest,0.3702021934207994,0.7644131495908394,0.0898632167899416,0.0428031592817578,169.1,0.2,qsar,mar
12,mice,-1.3408202731961212,0.6520435817527751,0.1558021084533098,0.1206138282022629,169.1,0.2,qsar,mar
13,sudoku,0.1333066800516386,0.6958292053679329,0.0934461901770893,0.04959306196212,169.1,0.2,qsar,mar
14,mean,-0.2577826774010503,,0.1634929831013139,0.1104307593093342,169.1,0.2,qsar,mar
15,median,-0.3890548320445836,,0.1728942064361989,0.0951310631102274,169.1,0.2,qsar,mar
16,sudoku,-0.0993770158785875,0.6574806367180007,0.1066237074912203,0.0562297060059479,237.7,0.3,qsar,mar
17,factorization,-0.651273728480582,0.5709903357433216,0.1540964415447559,0.0932733710507748,237.7,0.3,qsar,mar
18,mice,-1.6675951136446934,0.5865668883569082,0.159881142986363,0.1112443903464345,237.7,0.3,qsar,mar
19,missforest,-0.2680449353364201,0.7114468570534281,0.1243190566272205,0.0656560264104354,237.7,0.3,qsar,mar
20,softimpute,-0.1270995167454251,0.6310243111099613,0.1438801614957696,0.0831180078622489,237.7,0.3,qsar,mar
21,median,-0.397786482701036,,0.178306255282099,0.0984977940894988,237.7,0.3,qsar,mar
22,knn,-0.4315488721264319,0.5060568552827598,0.1296226585568048,0.0710688806077429,237.7,0.3,qsar,mar
23,mean,-0.2838254692978578,,0.1687722752883435,0.1132400018314761,237.7,0.3,qsar,mar
24,knn,-0.9626683746364666,0.4717473573759921,0.135271717909422,0.0758396837690566,296.425,0.4,qsar,mar
25,missforest,-1.5185017906083176,0.6715654266755982,0.1414916931587443,0.0774951107062139,296.425,0.4,qsar,mar
26,softimpute,-0.5443165471664366,0.5956689642921065,0.151684042478393,0.0895561254025209,296.425,0.4,qsar,mar
27,factorization,-1.428419980799649,0.5307620157930547,0.1669594546432235,0.1020803954707122,296.425,0.4,qsar,mar
28,mean,-0.3110460573409455,,0.1690847802720356,0.1138526006190157,296.425,0.4,qsar,mar
29,median,-0.4173690463955591,,0.1783123851650738,0.0987980911017409,296.425,0.4,qsar,mar
30,mice,-2.075246064796331,0.5831754602523601,0.1548393883933099,0.1066947225528197,296.425,0.4,qsar,mar
31,sudoku,-0.7854873811382042,0.636100146586102,0.1111596721822829,0.0615808770346427,296.425,0.4,qsar,mar
32,median,-0.4462099294896863,,0.1794169348139286,0.099982467878337,345.925,0.5,qsar,mar
33,mean,-0.3571890347358865,,0.1709090726187695,0.1153299546652446,345.925,0.5,qsar,mar
34,missforest,-6.734758534977504,0.6126250328333548,0.1732179426681665,0.1025289488296627,345.925,0.5,qsar,mar
35,softimpute,-1.3478211112438696,0.5210770180010683,0.1670034320670153,0.1001145052573105,345.925,0.5,qsar,mar
36,knn,-2.027494503990414,0.4090410484078329,0.1449096824275009,0.0828334317622319,345.925,0.5,qsar,mar
37,mice,-4.803497077322487,0.4913201249371099,0.1781284018112551,0.1234741942926324,345.925,0.5,qsar,mar
38,sudoku,-1.952875153483536,0.5655260747857997,0.1307326109908423,0.0713092403901997,345.925,0.5,qsar,mar
39,factorization,-3.750692056641924,0.4750394510876435,0.1895598849114942,0.1206220849635725,345.925,0.5,qsar,mar
0,knn,0.2697201673974543,0.5456621247730473,0.2251229666848893,0.1376562664731051,88.78787878787878,0.1,arcene,mar
1,softimpute,0.1841223285832788,0.4653619824804275,0.245832858624977,0.1400217295386597,88.78787878787878,0.1,arcene,mar
2,median,-0.4156163016028301,,0.3021465795694523,0.1677887284890243,88.78787878787878,0.1,arcene,mar
3,mean,-0.2882479589109094,,0.280204420810533,0.2081247652345722,88.78787878787878,0.1,arcene,mar
4,sudoku,0.4407724939659345,0.6159922043425741,0.2046604365056758,0.137284779449057,88.78787878787878,0.1,arcene,mar
5,missforest,0.3234710666297451,0.6258784955855178,0.1941079875450328,0.1287838561623986,88.78787878787878,0.1,arcene,mar
6,factorization,0.4306214839322825,0.6057061047996753,0.2084806735887717,0.1104594902505355,88.78787878787878,0.1,arcene,mar
7,mice,0.5135385227981486,0.6104446453700008,0.191722244026105,0.1328341487416614,88.78787878787878,0.1,arcene,mar
8,mean,-0.6134362350371689,,0.2836635017611942,0.2044217114493191,170.83838383838383,0.2,arcene,mar
9,missforest,-0.1791492879146752,0.6235496022111413,0.2060299407246424,0.1293467554271594,170.83838383838383,0.2,arcene,mar
10,median,-0.4377771333499168,,0.3032279039845498,0.1650167347862159,170.83838383838383,0.2,arcene,mar
11,mice,-0.3351844685290553,0.5613939471989826,0.2095039226638243,0.1386427668547933,170.83838383838383,0.2,arcene,mar
12,factorization,-0.0432198842947141,0.576481369757854,0.2159275822367882,0.1114004875965714,170.83838383838383,0.2,arcene,mar
13,sudoku,0.2070748581073417,0.5859587360279819,0.2250195069180881,0.1423457286279896,170.83838383838383,0.2,arcene,mar
14,knn,0.2487245761195069,0.5308183870795297,0.230287524910821,0.1375265015316466,170.83838383838383,0.2,arcene,mar
15,softimpute,0.1087707175291557,0.4469198309651687,0.2498294646049506,0.1385377166209921,170.83838383838383,0.2,arcene,mar
16,sudoku,0.3261196963703231,0.5814856225055983,0.2254827828127092,0.142419150044771,241.0909090909091,0.3,arcene,mar
17,mice,0.0874841965487133,0.5545223308533287,0.2223836623095837,0.1446720833700586,241.0909090909091,0.3,arcene,mar
18,factorization,0.1771999001813892,0.5583454588858473,0.2339323387795838,0.1221251514336285,241.0909090909091,0.3,arcene,mar
19,mean,-0.5091620244659045,,0.2951089033496146,0.2095673503951647,241.0909090909091,0.3,arcene,mar
20,knn,0.2275840775347091,0.5097652409007009,0.2402283776725942,0.1410083441962613,241.0909090909091,0.3,arcene,mar
21,median,-0.4810494008700761,,0.3153694305971833,0.1718189601666771,241.0909090909091,0.3,arcene,mar
22,missforest,-15.401091980565017,0.6159466570758433,0.2287643638060235,0.1426849242737336,241.0909090909091,0.3,arcene,mar
23,softimpute,0.0812646730862369,0.438480775933138,0.2639079050222182,0.1457555331721092,241.0909090909091,0.3,arcene,mar
24,mice,0.2394361581945414,0.5314939424284509,0.2320431586265899,0.1602767954497853,299.83838383838383,0.4,arcene,mar
25,median,-0.5527612329937512,,0.3143078315282563,0.1742870229345702,299.83838383838383,0.4,arcene,mar
26,mean,-0.4376237620717429,,0.2929413193504263,0.2108804856002788,299.83838383838383,0.4,arcene,mar
27,knn,0.1694787949387649,0.5022873815508329,0.240781051598248,0.1461900778757931,299.83838383838383,0.4,arcene,mar
28,factorization,0.1688509848503963,0.5207105164333184,0.2417071392946944,0.1297533539490304,299.83838383838383,0.4,arcene,mar
29,softimpute,0.0144409611435,0.424599573711223,0.2652497316269392,0.1482775794701363,299.83838383838383,0.4,arcene,mar
30,missforest,-0.7418426081512749,0.6028103348333707,0.2469508330871214,0.1654059773640454,299.83838383838383,0.4,arcene,mar
31,sudoku,0.2852649374753778,0.5687397041728472,0.2303438031379628,0.1498611072483592,299.83838383838383,0.4,arcene,mar
32,mean,-0.490751387233636,,0.2961256032126688,0.2137552533931614,346.3131313131313,0.5,arcene,mar
33,factorization,-0.1060354108646362,0.440983350050851,0.2618632814029997,0.1442051288678472,346.3131313131313,0.5,arcene,mar
34,softimpute,-0.1359745010694496,0.3880340416911332,0.2751604641073188,0.1542817664397862,346.3131313131313,0.5,arcene,mar
35,missforest,-1.4945872693891236,0.5395597567290268,0.3979533413477563,0.2981223627781601,346.3131313131313,0.5,arcene,mar
36,mice,-0.1334165919197056,0.4661609600904965,0.2584971953023841,0.1824732468045451,346.3131313131313,0.5,arcene,mar
37,knn,0.051523648046232,0.4413788457616021,0.2531635463066882,0.1520348301976957,346.3131313131313,0.5,arcene,mar
38,sudoku,0.1647520762166311,0.5082040286200937,0.2784641676405661,0.2097989383963519,346.3131313131313,0.5,arcene,mar
39,median,-0.7044900799251543,,0.3205145640366635,0.1801787725742553,346.3131313131313,0.5,arcene,mar
